family,method,swap_fraction,gamma_label,config_label,checkpoint,checkpoint_millions,cross_scenario_rrmse
hep,mcmc_is_no_oracle,0.1,0.333333333333,"MCMC–IS: 10%, \gamma=1/3",4500000,4.5,0.05253289973805803
hep,mcmc_is_no_oracle,0.1,0.333333333333,"MCMC–IS: 10%, \gamma=1/3",4750000,4.75,0.049022879899576786
hep,mcmc_is_no_oracle,0.1,0.333333333333,"MCMC–IS: 10%, \gamma=1/3",5000000,5.0,0.04911221236529592
hep,samc,0.05,none,SAMC: 5%,500000,0.5,0.14200657480356063
hep,samc,0.05,none,SAMC: 5%,750000,0.75,0.13778563145127262
hep,samc,0.05,none,SAMC: 5%,1000000,1.0,0.12191948582050248
hep,samc,0.05,none,SAMC: 5%,1250000,1.25,0.111882292390863
hep,samc,0.05,none,SAMC: 5%,1500000,1.5,0.10695984788340658
hep,samc,0.05,none,SAMC: 5%,1750000,1.75,0.09470967587956523
hep,samc,0.05,none,SAMC: 5%,2000000,2.0,0.09575088328584644
hep,samc,0.05,none,SAMC: 5%,2250000,2.25,0.07815798995470502
hep,samc,0.05,none,SAMC: 5%,2500000,2.5,0.08403099451274046
hep,samc,0.05,none,SAMC: 5%,2750000,2.75,0.07196529996773376
hep,samc,0.05,none,SAMC: 5%,3000000,3.0,0.0733648509175341
hep,samc,0.05,none,SAMC: 5%,3250000,3.25,0.08019537231389595
hep,samc,0.05,none,SAMC: 5%,3500000,3.5,0.0626226289686981
hep,samc,0.05,none,SAMC: 5%,3750000,3.75,0.06209336031256884
hep,samc,0.05,none,SAMC: 5%,4000000,4.0,0.07215990161775565
hep,samc,0.05,none,SAMC: 5%,4250000,4.25,0.0727422966108118
hep,samc,0.05,none,SAMC: 5%,4500000,4.5,0.06252752610059645
hep,samc,0.05,none,SAMC: 5%,4750000,4.75,0.05601809296670227
hep,samc,0.05,none,SAMC: 5%,5000000,5.0,0.05936482025170443
